Fecha;VAL356CI8017-Conductividad;VAL356M003-Carga Motor;VAL356M014-Carga Motor;VAL356M015-Carga Motor;VAL356PI8026-Ind.Presi—n;VAL356PIC8025-Ind.Presi—n;VAL356TI8015-Ind.Temperatura;VAL356TIC8014-Ind.Temperatura;Estado
24-10-2006 23:38;12,3;68,0264591;45,6700563;30,3431731;21,4925528;20,9;71,883617;103,4148458;0
25-10-2006 1:38;18,9;68,827098;45,9245689;30,1266536;20,9549559;20,6;72,3014535;103,487449;0
25-10-2006 3:38;25,9;68,8716645;49,477196;29,7014418;21,1930454;20,3;71,7755359;103,582936;0
25-10-2006 5:38;27,2;65,658285;51,6497628;28,8204972;21,0218971;20,6;70,5898611;103,6977997;0
25-10-2006 7:38;22;64,1665532;46,8511821;27,7603879;20,9758801;20,4;71,7623767;103,6803622;0
25-10-2006 9:38;12,3;65,755735;46,7581668;28,691874;21,1952541;21;71,8205237;103,0263571;0
25-10-2006 11:38;15;66,4316011;45,9555007;29,3612546;21,5529398;21,1;71,514824;103,4101962;0
25-10-2006 13:38;11,2;67,1518741;50,7480619;30,4329076;21,4105685;21;72,2994822;103,4021337;0
25-10-2006 15:38;12,7;69,7747123;45,021294;31,4917686;21,2603667;20,9;72,3291678;103,2375211;0
25-10-2006 17:38;13,9;70,0492768;59,0145052;30,8964223;21,495022;20,6;71,4964021;103,2112629;0
25-10-2006 19:38;15,5;70,1388375;48,9841615;30,4390903;21,3854056;21,1;71,3552488;103,370761;0
25-10-2006 21:38;16,2;68,6547619;44,6830916;29,520267;21,3484309;21;71,1623492;103,357098;0
25-10-2006 23:38;15,4;68,1304881;46,9899608;29,4880674;21,3115261;21;71,0319147;103,2530557;0
26-10-2006 1:38;15,2;67,1896202;45,956649;29,2926123;20,9266005;20,8;70,8549688;103,2675385;0
26-10-2006 3:38;14,3;67,6675569;45,0980437;29,4644946;20,8802655;20,4;70,8777993;103,1925956;0
26-10-2006 5:38;13,2;67,7622447;45,6082719;29,5322885;21,2742052;20,9;71,9162885;103,2464722;0
26-10-2006 7:38;12,8;68,1002499;51,3761414;30,5088002;21,3054574;20,8;71,9742783;103,1461894;0
26-10-2006 9:38;13,4;68,5949659;51,3312664;31,0987662;21,1645795;20,7;72,2343761;103,1585731;0
26-10-2006 11:38;15,5;69,4675686;49,5636684;31,0895924;21,0088768;21;72,2340711;103,1848208;0
26-10-2006 13:38;16,1;68,103319;48,3882247;30,457542;20,8043597;20,8;71,2456871;103,2749991;0
26-10-2006 15:38;13,9;67,9573186;47,9890507;30,3736481;20,3387834;20,5;72,0013258;103,2732617;0
26-10-2006 17:38;16,2;67,6600029;44,1552157;29,2937433;18,4122494;17,7;67,8811775;103,4830197;0
26-10-2006 19:38;18,1;66,9495845;54,9497515;28,9959939;19,5742857;19,2;68,4644827;103,4115812;0
26-10-2006 21:38;22,1;65,9623849;42,9884554;28,5219107;20,4758298;20,2;71,6354178;103,5757385;0
26-10-2006 23:38;12,7;67,888688;51,0484955;28,7518767;21,1201216;20,8;72,2833564;102,7988458;0
27-10-2006 1:38;14,1;69,4493356;50,1068406;29,7670203;21,3472177;21,1;72,1218864;103,155832;0
27-10-2006 3:38;14,9;70,0498294;54,9912096;29,932942;21,3538766;21,1;72,3003472;103,2058324;0
27-10-2006 5:38;15,5;70,1181449;46,3150124;30,2098032;21,4238776;21;72,1711838;103,1981326;0
27-10-2006 7:38;15,4;69,1578982;44,0419653;30,149303;21,369909;21,1;71,9399247;103,1484265;0
27-10-2006 9:38;15,2;69,1234801;45,205537;30,092656;21,261562;20,9;72,1069978;103,3860988;0
27-10-2006 11:38;14,7;69,5678916;50,5279466;30,1841659;21,339527;21,1;72,1567469;103,3088311;0
27-10-2006 13:38;14;69,5266339;53,289892;29,8648861;21,2686553;20,9;71,9844655;103,2890063;0
27-10-2006 15:38;15;69,3931003;57,4817101;29,9930864;21,2445095;21;71,9571952;103,3147662;0
27-10-2006 17:38;14,6;68,7618645;52,8891164;30,2085624;21,3733963;20,9;70,9865599;103,3429974;0
27-10-2006 19:38;14,4;68,2339449;46,3939306;29,9093322;21,2723982;20,9;71,3051133;103,3233584;0
27-10-2006 21:38;14,1;67,6119428;44,9060526;29,9367602;21,2920988;21;71,6131661;103,2190232;0
27-10-2006 23:38;13,9;67,1468738;46,6276985;29,9333658;21,3530694;21;71,649059;103,2486146;0
28-10-2006 1:38;13,9;67,3447894;46,1206455;29,8589375;21,2934082;21;71,5449735;103,2909826;0
28-10-2006 3:38;13,5;67,4781475;51,5714991;30,2857649;21,2551098;20,9;71,6930325;103,2636597;0
28-10-2006 5:38;13,4;67,635314;44,6205716;29,9791649;21,3550847;21;71,8818751;103,3305043;0
28-10-2006 7:38;13;67,6505848;47,2683823;29,8403397;21,2626317;21;72,0033925;103,2317765;0
28-10-2006 9:38;13,2;67,292556;45,4175253;29,9516587;21,3808742;21,1;71,9787836;103,2207833;0
28-10-2006 11:38;13,1;67,1326463;53,351712;29,9970594;21,3880221;21,1;72,1957581;103,1977608;0
28-10-2006 13:38;12,4;67,4547569;50,3014472;29,7769153;21,3422905;21,1;72,2341019;103,1857796;0
28-10-2006 15:38;10,3;67,6513482;51,4948321;30,1090018;21,1147596;20,9;72,2753777;103,3511702;0
28-10-2006 17:38;11,7;67,7412595;50,6949043;30,4415078;21,3929247;21,2;72,145629;103,1882061;0
28-10-2006 19:38;14,1;67,5537897;47,1350199;29,8191;21,1130235;20,9;71,8472565;103,3137384;0
28-10-2006 21:38;14,1;67,4024613;49,9474096;29,8187491;21,3091299;21;71,9036194;103,2970287;0
28-10-2006 23:38;13,7;67,3751025;52,7706915;29,5522742;21,5328774;21;71,615686;103,2313674;0
29-10-2006 1:38;13,6;67,2218268;55,889489;29,6858964;21,5116046;20,9;71,5352511;103,2806415;0
29-10-2006 3:38;12,9;67,0817126;50,0548105;29,7873794;21,8048976;21,4;72,09371;103,1751338;0
29-10-2006 5:38;12,5;67,1542691;46,2454789;29,6087838;21,65701;21,2;71,8077041;103,1908134;0
29-10-2006 7:38;11,9;67,4018329;51,114342;30,3268202;21,5487501;21,1;72,1819977;103,104948;0
29-10-2006 9:38;11,8;67,8480584;48,5794374;30,5301992;21,5136877;21,3;72,4666588;103,1540478;0
29-10-2006 11:38;11,7;68,1514483;45,8295704;29,8776783;21,4415904;21;72,4051066;103,1851581;0
29-10-2006 13:38;12,1;68,1892354;49,7955574;29,6279066;21,0873015;21;72,4307054;103,2728501;0
29-10-2006 15:38;16;66,9256763;52,2284277;29,1589663;20,7077674;20,5;72,374213;103,4225517;0
29-10-2006 17:38;18,1;67,1984966;50,2594954;28,3645212;20,2870324;20,2;72,2428747;103,5334171;0
29-10-2006 19:38;18;67,5613904;54,1505625;28,2649702;20,4393559;20,2;72,2334364;103,2811129;0
